Borough,Creation Date,Latitude,Longitude
Bronx,07/04/2017 1:27:14 PM,,
Manhattan,07/11/2011 5:44:23 PM,40.74103032,-73.99416478
Brooklyn,07/10/2020 7:57:45 PM,,
Manhattan,07/01/2018 9:14:40 AM,40.75397409,-73.98199112
Queens,04/24/2021 3:35:14 AM,40.59413799,-73.76007303
Manhattan,07/02/2013 1:08:11 PM,40.80395045,-73.96313868
Manhattan,05/14/2017 7:15:30 PM,40.71442154,-74.00607638
Brooklyn,08/26/2019 3:55:08 PM,40.693842,-73.98333
Brooklyn,06/20/2011 6:53:05 PM,40.66457228,-73.90265587
Manhattan,09/03/2015 11:05:29 AM,40.80896233,-73.96318648
flushing,03/30/2019 8:00:16 PM,40.71317465,-73.87353177
Staten Island,12/13/2020 7:51:41 PM,40.60480002,-74.07568698
Brooklyn,11/03/2021 11:00:08 AM,40.65368336,-73.95157999
Manhattan,07/27/2017 8:46:54 AM,40.73823907,-73.99983774
Queens,12/12/2018 2:22:48 PM,40.56677652,-73.88875358
Brooklyn,08/08/2020 9:46:35 AM,40.69980832,-73.98976959
Manhattan,01/23/2017 3:54:00 AM,40.71442154,-74.00607638
Brooklyn,07/22/2016 8:46:50 PM,,
Bronx,09/03/2019 4:42:33 PM,40.83983015,-73.91291861
Brooklyn,02/16/2017 12:15:50 PM,40.6409843,-73.93982527
Bronx,02/13/2014 9:47:21 AM,40.83456399,-73.81763578
Queens,06/19/2012 8:00:17 PM,,
Manhattan,12/23/2016 1:36:49 PM,40.71442154,-74.00607638
New York,01/21/2019 8:28:35 PM,40.76465021,-73.97788313
Bronx,01/12/2018 9:31:21 AM,40.8462453,-73.91833785
Queens,06/14/2015 4:04:33 PM,40.648661,-73.78014998
Manhattan,04/07/2018 6:04:46 PM,40.76257248,-73.97420438
Queens,04/26/2017 3:23:22 AM,40.66245165,-73.80039999
Queens,08/17/2011 3:19:05 PM,40.7738978,-73.93657515
Bronx,04/13/2017 11:22:35 PM,40.87685686,-73.82979889
Queens,11/05/2021 8:40:33 PM,40.79599178,-73.88638756
Queens,10/09/2019 12:42:54 PM,40.76038488,-73.84085996
Brooklyn,01/11/2018 9:01:05 AM,40.57554541,-73.99503671
Manhattan,12/26/2012 12:19:14 PM,40.76553005,-73.99767155
Manhattan,04/07/2013 7:11:23 PM,,
Queens,04/06/2021 1:28:03 PM,40.75462,-73.87789099
Manhattan,01/25/2013 4:09:39 PM,40.76004576,-73.99146666
Queens,03/27/2012 7:56:25 PM,,
Brooklyn,08/02/2018 11:05:19 PM,,
Staten ISland,06/19/2017 11:59:07 AM,40.52724014,-74.1664587
Manhattan,05/14/2017 7:15:30 PM,40.71442154,-74.00607638
Brooklyn,04/18/2019 3:23:56 PM,40.68296496,-73.96485955
Staten Island,08/09/2019 8:48:44 AM,40.55322116,-74.13599352
Staten Island,03/09/2021 6:31:00 PM,40.60238,-74.164495
Brooklyn,02/19/2021 8:52:07 PM,40.70019999,-73.94413703
Brooklyn,07/23/2019 9:03:07 AM,40.6737,-73.734372
Bronx,12/04/2018 2:35:11 PM,40.81646146,-73.8908144
Brooklyn,09/30/2019 1:33:08 PM,40.64731067,-73.97189923
New York,02/28/2022 3:32:22 AM,40.8772496,-73.92296081
Bronx,12/30/2019 2:06:16 PM,40.87005652,-73.83229533
Queens,11/14/2016 3:53:54 PM,40.71400364,-73.82998933
Bronx,04/11/2022 3:45:32 PM,40.8535714,-73.86302211
Brooklyn,10/25/2016 8:58:31 AM,,
Manhattan,01/23/2020 9:00:40 PM,40.71613915,-73.99915329
Bronx,07/20/2019 6:27:37 PM,40.8473755,-73.90193213
Manhattan,02/20/2020 3:39:26 AM,40.743333,-73.9841085
Manhattan,05/23/2018 11:31:13 PM,40.770387,-73.9541025
Brooklyn,10/11/2021 2:12:32 AM,40.64332006,-73.87623992
Bronx,01/09/2020 6:36:23 PM,40.83050639,-73.91364828
Brooklyn,07/09/2021 2:49:59 PM,40.72054002,-73.94610703
Brooklyn,02/21/2020 11:56:32 PM,40.701015,-73.9912905
Staten Island,11/07/2021 1:13:04 PM,40.61181006,-74.06443989
Bronx,04/24/2018 5:50:05 AM,40.86420309,-73.89149696
Brooklyn,03/23/2017 7:14:08 AM,40.66063637,-73.88634126
Manhattan,11/25/2018 6:24:14 PM,40.7918279,-73.97397613
Manhattan,02/24/2016 2:25:42 PM,40.75998779,-73.98779199
Bronx,02/03/2014 3:08:38 PM,40.86818031,-73.8879389
Brooklyn,04/08/2015 11:42:20 AM,40.68943943,-73.90812013
Brooklyn,06/12/2016 8:51:35 AM,40.67609494,-73.94991352
Manhattan,12/29/2017 10:38:00 PM,,
Queens,08/10/2017 8:55:19 AM,40.771611,-73.833516
Staten Island,11/28/2014 8:37:45 AM,40.58677316,-74.19338868
Brooklyn,08/17/2013 8:24:55 PM,40.68441595,-73.92720995
Manhattan,12/27/2017 5:20:16 AM,,
Manhattan,12/24/2020 5:28:31 PM,40.76457732,-73.9775786
Bronx,03/23/2014 10:44:59 AM,40.85326795,-73.90593302
Bronx,01/07/2014 3:04:54 PM,40.88275205,-73.91742752
Queens,10/26/2015 10:33:08 AM,40.73351802,-73.89034476
Manhattan,08/23/2013 12:56:44 AM,40.74972619,-73.967182
New York,01/08/2018 9:44:03 AM,40.751352,-73.96794
Brooklyn,07/01/2020 4:59:19 PM,40.68097002,-73.99673196
Brooklyn,01/14/2021 6:29:09 PM,40.70758998,-73.93906598
Manhattan,08/31/2021 2:42:25 PM,40.81447532,-73.9403996
Staten Island,04/04/2022 8:20:19 AM,40.54955003,-74.13731995
Brooklyn,08/01/2019 12:55:54 AM,40.72838802,-73.94309537
Queens,04/15/2020 9:44:53 AM,40.59411143,-73.79530022
Bronx,02/28/2021 3:08:50 AM,40.86982294,-73.83083227
New York,08/07/2021 10:43:46 PM,40.75067191,-73.99208153
Queens,04/16/2020 9:55:39 AM,40.75483882,-73.84468069
New York,01/13/2018 5:27:47 AM,40.77874294,-73.96249831
Brooklyn,12/06/2016 3:59:54 PM,40.66022112,-73.9945785
